timestamp,market-cap-value,market-cap-USD,price-per-ether
1442966400,73489750.96875,66.140775871875,0.90
1443052800,73516136.75000,61.0183935025,0.83
1443139200,73543140.18750,50.744766729375,0.69
1443225600,73569050.50000,52.234025855,0.71
1443312000,73594061.59375,56.6674274271875,0.77
1443398400,73618775.81250,45.64364100375,0.62
1443484800,73643144.25000,43.4494551075,0.59
1443571200,73668238.00000,53.77781374,0.73
1443657600,73695660.03125,49.3760922209375,0.67
1443744000,73722573.15625,48.656898283125,0.66
1443830400,73749026.90625,51.624318834375,0.70
1443916800,73774507.06250,50.1666648025,0.68
1444003200,73800643.93750,48.70842499875,0.66
1444089600,73825680.50000,46.510178715,0.63
1444176000,73851814.09375,45.0496065971875,0.61
1444262400,73878596.28125,45.804729694375,0.62
1444348800,73904043.93750,47.29858812,0.64
1444435200,73929543.62500,47.31490792,0.64
1444521600,73956054.40625,45.1131931878125,0.61
1444608000,73982854.40625,48.0888553640625,0.65
1444694400,74009522.68750,44.4057136125,0.60
1444780800,74035398.31250,37.758053139375,0.51
1444867200,74061008.78125,44.43660526875,0.60
1444953600,74086450.18750,38.5249540975,0.52
1445040000,74112900.81250,40.02096643875,0.54
1445126400,74138749.09375,37.8107620378125,0.51
1445212800,74164715.81250,36.340710748125,0.49
1445299200,74190908.31250,32.6439996575,0.44
1445385600,74216954.71875,31.9132905290625,0.43
1445472000,74242285.50000,45.287794155,0.61
1445558400,74269844.09375,42.3338111334375,0.57
1445644800,74296959.09375,40.8633275015625,0.55
1445731200,74323773.31250,47.56721492,0.64
1445817600,74349688.62500,52.78827892375,0.71
1445904000,74377214.87500,62.476860495,0.84
1445990400,74403563.31250,72.171456413125,0.97
1446076800,74431070.34375,82.6184880815625,1.11
1446163200,74458794.25000,84.883025445,1.14
1446249600,74486542.06250,65.548157015,0.88
1446336000,74514722.21875,78.2404583296875,1.05
1446422400,74541856.43750,72.305600744375,0.97
1446508800,74569462.21875,73.078072974375,0.98
1446595200,74597178.62500,61.91565825875,0.83
1446681600,74624470.03125,67.162023028125,0.90
1446768000,74651892.21875,70.172778685625,0.94
1446854400,74678607.53125,69.4511050040625,0.93
1446940800,74705896.59375,74.70589659375,1.00
1447027200,74732956.12500,75.48028568625,1.01
1447113600,74760400.18750,67.28436016875,0.90
1447200000,74788226.75000,56.0911700625,0.75
1447286400,74816251.28125,66.5864636403125,0.89
1447372800,74844436.43750,67.35999279375,0.90
1447459200,74872794.09375,65.8880588025,0.88
1447545600,74900914.25000,68.90884111,0.92
1447632000,74928309.40625,69.6833277478125,0.93
1447718400,74956103.00000,74.9561030,1.00
1447804800,74983355.03125,74.98335503125,1.00
1447891200,75009918.46875,72.00952173,0.96
1447977600,75035048.93750,69.0322450225,0.92
1448064000,75061831.12500,72.80997619125,0.97
1448150400,75088819.71875,74.3379315215625,0.99
1448236800,75116092.06250,69.857965618125,0.93
1448323200,75142940.18750,69.882934374375,0.93
1448409600,75169412.06250,65.397388494375,0.87
1448496000,75195950.50000,65.420476935,0.87
1448582400,75223837.37500,66.19697689,0.88
1448668800,75251045.34375,69.9834721696875,0.93
1448755200,75278393.15625,66.2449859775,0.88
1448841600,75305749.40625,67.775174465625,0.90
1448928000,75333292.21875,65.5399642303125,0.87
1449014400,75359299.25000,62.5482183775,0.83
1449100800,75387362.53125,62.5715109009375,0.83
1449187200,75414041.90625,63.34779520125,0.84
1449273600,75440623.78125,64.878936451875,0.86
1449360000,75466879.56250,63.3921788325,0.84
1449446400,75493598.46875,61.1498147596875,0.81
1449532800,75519910.96875,61.1711278846875,0.81
1449619200,75548235.03125,60.438588025,0.80
1449705600,75575712.37500,63.483598395,0.84
1449792000,75602735.18750,68.04246166875,0.90
1449878400,75629941.75000,73.3610434975,0.97
1449964800,75657849.09375,70.3617996571875,0.93
1450051200,75684557.68750,74.927712110625,0.99
