timestamp,total_eth_growth
1459296000,78608138.00000
1459382400,78639526.90625
1459468800,78671411.59375
1459555200,78702492.84375
1459641600,78734222.53125
1459728000,78766175.65625
1459814400,78797750.50000
1459900800,78829013.15625
1459987200,78860180.50000
1460073600,78892094.87500
1460160000,78923008.46875
1460246400,78954790.18750
1460332800,78985756.75000
1460419200,79017139.56250
1460505600,79048625.65625
1460592000,79080026.75000
1460678400,79111760.18750
1460764800,79143291.43750
1460851200,79174794.56250
1460937600,79206654.09375
1461024000,79237980.65625
1461110400,79269812.06250
1461196800,79301185.96875
1461283200,79332762.68750
1461369600,79364456.28125
1461456000,79395951.28125
1461542400,79428088.31250
1461628800,79459376.12500
1461715200,79491251.12500
1461801600,79522933.62500
1461888000,79554617.21875
1461974400,79586508.93750
1462060800,79617521.75000
1462147200,79649433.31250
1462233600,79681224.56250
1462320000,79712683.31250
1462406400,79744463.31250
1462492800,79776200.96875
1462579200,79807774.09375
1462665600,79839623.31250
1462752000,79871424.71875
1462838400,79903125.65625
1462924800,79934378.78125
1463011200,79966635.81250
1463097600,79998832.53125
1463184000,80030500.34375
1463270400,80062308.93750
1463356800,80093820.50000
1463443200,80126012.68750
1463529600,80158417.06250
1463616000,80190320.65625
1463702400,80222410.34375
1463788800,80254249.87500
1463875200,80286506.12500
1463961600,80318586.75000
1464048000,80350590.03125
1464134400,80382947.06250
1464220800,80414991.43750
1464307200,80447313.15625
1464393600,80479631.75000
1464480000,80511604.09375
1464566400,80543608.15625
1464652800,80575141.12500
1464739200,80607285.34375
1464825600,80639467.53125
1464912000,80671739.71875
1464998400,80703881.28125
1465084800,80735464.40625
1465171200,80767836.28125
1465257600,80799782.21875
1465344000,80832085.18750
1465430400,80864311.12500
1465516800,80895475.34375
1465603200,80927850.81250
1465689600,80960067.68750
1465776000,80992291.90625
1465862400,81024437.37500
1465948800,81056304.40625
1466035200,81088182.06250
1466121600,81121598.46875
1466208000,81155985.65625
1466294400,81189181.12500
1466380800,81220895.96875
1466467200,81252884.40625
1466553600,81285555.03125
1466640000,81317403.15625
1466726400,81349575.03125
1466812800,81381260.96875
1466899200,81413575.65625
1466985600,81445670.50000
1467072000,81477831.90625
1467158400,81509701.90625
1467244800,81541688.00000
1467331200,81574306.28125
1467417600,81606222.84375
1467504000,81638262.53125
1467590400,81670403.46875
1467676800,81701981.28125
1467763200,81734336.12500
1467849600,81766232.06250
1467936000,81798181.59375
1468022400,81830979.71875
1468108800,81862945.18750
1468195200,81894930.50000
1468281600,81926691.59375
1468368000,81958850.18750
