timestamp,total_addresses
1468281600,436469
1468368000,439291
1468454400,442427
1468540800,445925
1468627200,448149
1468713600,449627
1468800000,452120
1468886400,455066
1468972800,459828
1469059200,463245
1469145600,467682
1469232000,471467
1469318400,475286
1469404800,479819
1469491200,485119
1469577600,490249
1469664000,493294
1469750400,496589
1469836800,498814
1469923200,501305
1470009600,503754
1470096000,507459
1470182400,510443
1470268800,513258
1470355200,515463
1470441600,517347
1470528000,519108
1470614400,521038
1470700800,523950
1470787200,526538
1470873600,529018
1470960000,531192
1471046400,532827
1471132800,534412
1471219200,536080
1471305600,537798
1471392000,539428
1471478400,541085
1471564800,542717
1471651200,544620
1471737600,546514
1471824000,548109
1471910400,550573
1471996800,552384
1472083200,554545
1472169600,556489
1472256000,557883
1472342400,559482
1472428800,561294
1472515200,563151
1472601600,565136
1472688000,567294
1472774400,569263
1472860800,571037
1472947200,572702
1473033600,574371
1473120000,576228
1473206400,577984
1473292800,579977
1473379200,582016
1473465600,583909
1473552000,585641
1473638400,588032
1473724800,589982
1473811200,591822
1473897600,593560
1473984000,595415
1474070400,597259
1474156800,598924
1474243200,599907
1474329600,602298
1474416000,605237
1474502400,606968
1474588800,608507
1474675200,610118
1474761600,612211
1474848000,613935
1474934400,615620
1475020800,617448
1475107200,620099
1475193600,622544
1475280000,624508
1475366400,627061
1475452800,629658
1475539200,653826
1475625600,656302
1475712000,659011
1475798400,661379
1475884800,664537
1475971200,667329
1476057600,686320
1476144000,692167
1476230400,700440
1476316800,716073
1476403200,728429
1476489600,731881
1476576000,736985
1476662400,741716
1476748800,746368
1476835200,747915
1476921600,749504
1477008000,751013
1477094400,752751
1477180800,754105
1477267200,755748
1477353600,758849
1477440000,760844
1477526400,762714
1477612800,765038
1477699200,766865
1477785600,768687
1477872000,770540
1477958400,772838
1478044800,777832
1478131200,779820
1478217600,781449
1478304000,782988
1478390400,784678
1478476800,786489
1478563200,788550
1478649600,791024
1478736000,793001
1478822400,795241
1478908800,797064
1478995200,799460
1479081600,801315
1479168000,803432
1479254400,805304
1479340800,807112
1479427200,809162
1479513600,810733
1479600000,812403
1479686400,814569
1479772800,816176
1479859200,817840
1479945600,819485
1480032000,840006
1480118400,843172
1480204800,845997
1480291200,847709
1480377600,849474
1480464000,851332
1480550400,852988
1480636800,856233
1480723200,862630
1480809600,868190
1480896000,874903
1480982400,877485
1481068800,879373
1481155200,881066
1481241600,882875
1481328000,886258
1481414400,888937
1481500800,890669
1481587200,892266
1481673600,895504
1481760000,899270
1481846400,901155
1481932800,904251
1482019200,906316
1482105600,908427
1482192000,910765
1482278400,912667
1482364800,921440
1482451200,925590
1482537600,927358
1482624000,928670
1482710400,930087
1482796800,931796
1482883200,933815
1482969600,936427
1483056000,938850
1483142400,941811
1483228800,943417
1483315200,945665
1483401600,948326
1483488000,951853
1483574400,955172
1483660800,958484
1483747200,961114
1483833600,963314
1483920000,965736
1484006400,968054
1484092800,970329
1484179200,973959
1484265600,977582
1484352000,981025
1484438400,983455
1484524800,985864
1484611200,988571
1484697600,991171
1484784000,993689
1484870400,996812
1484956800,999192
1485043200,1001830
1485129600,1004532
1485216000,1006944
1485302400,1009369
1485388800,1012519
1485475200,1014907
1485561600,1017588
1485648000,1019716
1485734400,1022347
1485820800,1024108
1485907200,1026094
1485993600,1028070
1486080000,1029880
1486166400,1032097
1486252800,1033882
1486339200,1035599
1486425600,1037811
1486512000,1040358
1486598400,1042268
1486684800,1044332
1486771200,1046267
1486857600,1048901
1486944000,1051104
1487030400,1053923
1487116800,1056702
1487203200,1058825
1487289600,1060926
1487376000,1063883
1487462400,1065920
1487548800,1068400
1487635200,1071424
1487721600,1073757
1487808000,1076071
1487894400,1078758
1487980800,1081093
1488067200,1083604
1488153600,1086792
1488240000,1091303
1488326400,1098329
1488412800,1104821
1488499200,1111646
1488585600,1115958
1488672000,1120047
1488758400,1124705
1488844800,1128534
1488931200,1132810
1489017600,1139420
1489104000,1145555
1489190400,1151496
1489276800,1158864
1489363200,1170758
1489449600,1180408
1489536000,1190919
1489622400,1208579
1489708800,1224321
1489795200,1236276
1489881600,1244923
1489968000,1254137
1490054400,1264243
1490140800,1272509
1490227200,1280501
1490313600,1291931
1490400000,1301464
1490486400,1308803
1490572800,1320623
1490659200,1329617
1490745600,1338529
1490832000,1352837
1490918400,1367188
1491004800,1374894
1491091200,1385185
1491177600,1398126
1491264000,1408346
1491350400,1418641
1491436800,1432417
1491523200,1440597
1491609600,1447313
1491696000,1453300
1491782400,1460327
1491868800,1466464
1491955200,1476683
1492041600,1485120
1492128000,1492214
1492214400,1498803
1492300800,1503386
1492387200,1509763
1492473600,1518090
1492560000,1526805
1492646400,1536829
1492732800,1548026
1492819200,1555797
1492905600,1562427
1492992000,1572073
1493078400,1580035
1493164800,1596565
1493251200,1612349
1493337600,1624667
1493424000,1635440
1493510400,1647543
1493596800,1663543
1493683200,1678680
1493769600,1690254
1493856000,1708629
