timestamp,transactions
1438214400,8893
1438300800,0
1438387200,0
1438473600,0
1438560000,0
1438646400,0
1438732800,0
1438819200,0
1438905600,2050
1438992000,2881
1439078400,1329
1439164800,2037
1439251200,4963
1439337600,2036
1439424000,2842
1439510400,3174
1439596800,2284
1439683200,2440
1439769600,2512
1439856000,2494
1439942400,3246
1440028800,2303
1440115200,3919
1440201600,3579
1440288000,4190
1440374400,4432
1440460800,4487
1440547200,4156
1440633600,5590
1440720000,4758
1440806400,4139
1440892800,4572
1440979200,5196
1441065600,5153
1441152000,5195
1441238400,4777
1441324800,5642
1441411200,5519
1441497600,5521
1441584000,5702
1441670400,5622
1441756800,5604
1441843200,5341
1441929600,6460
1442016000,5596
1442102400,6057
1442188800,5572
1442275200,5409
1442361600,5872
1442448000,5368
1442534400,5802
1442620800,5205
1442707200,6402
1442793600,6305
1442880000,6804
1442966400,7404
1443052800,6224
1443139200,5851
1443225600,5907
1443312000,5760
1443398400,6123
1443484800,5738
1443571200,5870
1443657600,6421
1443744000,6063
1443830400,6112
1443916800,6624
1444003200,6279
1444089600,6458
1444176000,7121
1444262400,6926
1444348800,6763
1444435200,6529
1444521600,6023
1444608000,6593
1444694400,6818
1444780800,6830
1444867200,6499
1444953600,6795
1445040000,6567
1445126400,6481
1445212800,6604
1445299200,5897
1445385600,6182
1445472000,5979
1445558400,6888
1445644800,6361
1445731200,5830
1445817600,5938
1445904000,6784
1445990400,7346
1446076800,7836
1446163200,7941
1446249600,7557
1446336000,6915
1446422400,6558
1446508800,7399
1446595200,7037
1446681600,7498
1446768000,7882
1446854400,10996
1446940800,12413
1447027200,7689
1447113600,8151
1447200000,10217
1447286400,9534
1447372800,7891
1447459200,7211
1447545600,7170
1447632000,7442
1447718400,7145
1447804800,7373
1447891200,8876
1447977600,6348
1448064000,6822
1448150400,7083
1448236800,8260
1448323200,7152
1448409600,7098
1448496000,7278
1448582400,6639
1448668800,6817
1448755200,6853
1448841600,8986
1448928000,6794
1449014400,6502
1449100800,6971
1449187200,6898
1449273600,6784
1449360000,9103
1449446400,7141
1449532800,6697
1449619200,7001
1449705600,7444
1449792000,8105
1449878400,8205
1449964800,7426
1450051200,15550
1450137600,21098
1450224000,10304
1450310400,9612
1450396800,9032
1450483200,9314
1450569600,9879
1450656000,12063
1450742400,21027
1450828800,22740
1450915200,13494
1451001600,9521
1451088000,10726
1451174400,21867
1451260800,12368
1451347200,11358
1451433600,21767
1451520000,10301
1451606400,8233
1451692800,9164
1451779200,9258
1451865600,9474
1451952000,16430
1452038400,17074
1452124800,22075
1452211200,10919
1452297600,11793
1452384000,10320
1452470400,10893
1452556800,10862
1452643200,17665
1452729600,10653
1452816000,9875
1452902400,10664
1452988800,9747
1453075200,12916
1453161600,13420
1453248000,10610
1453334400,10734
1453420800,13848
1453507200,11025
1453593600,12798
1453680000,17121
1453766400,16511
1453852800,18747
1453939200,16765
1454025600,16395
1454112000,14661
1454198400,14166
1454284800,14199
1454371200,14291
1454457600,14274
1454544000,14371
1454630400,15249
1454716800,31418
1454803200,14264
1454889600,14719
1454976000,15517
1455062400,17141
1455148800,21440
1455235200,18109
1455321600,19327
1455408000,16624
1455494400,17159
1455580800,17549
1455667200,19990
1455753600,16969
1455840000,18412
1455926400,16714
1456012800,17119
1456099200,18190
1456185600,18482
1456272000,19540
1456358400,19503
1456444800,21068
1456531200,18981
1456617600,19063
1456704000,20358
1456790400,21778
1456876800,23562
1456963200,24837
1457049600,24287
1457136000,27115
1457222400,27661
1457308800,23271
1457395200,24104
1457481600,24557
1457568000,24814
1457654400,23124
1457740800,27887
1457827200,28127
1457913600,28528
1458000000,29273
1458086400,27596
1458172800,33531
1458259200,31821
1458345600,34779
1458432000,32447
1458518400,32511
1458604800,32890
1458691200,31786
1458777600,36947
1458864000,36762
1458950400,36646
1459036800,29974
1459123200,33613
1459209600,33915
1459296000,36767
1459382400,32259
1459468800,33320
1459555200,29358
1459641600,29588
1459728000,34907
1459814400,39173
1459900800,32078
1459987200,31893
1460073600,34010
1460160000,31923
1460246400,32237
1460332800,30327
1460419200,34673
1460505600,36051
1460592000,34781
